_id,ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,numerator,Households,Gini_index,LL_95CI,UL_95CI,se,rse,CA_decile,CA_RR,Median_HH_income,Median_HH_decile,version
1,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9.0,Total,CA,6.0,California,,,,,,12577498.0,0.468,0.465617021276596,0.470382978723404,0.0012158054711246,0.259787493830047,,,,,2014-03-26 09:50:34
2,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2006-2010,9.0,Total,CA,6.0,California,,,,,,12577498.0,0.469,0.467808510638298,0.470191489361702,0.0006079027355623,0.129616787966377,,,,,2014-03-26 09:50:34
3,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2008-2010,9.0,Total,CA,6.0,California,,,,,,12577498.0,0.471,0.468617021276596,0.473382978723404,0.0012158054711246,0.258132796417117,,,,,2014-03-26 09:50:34
4,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9.0,Total,CO,6001.0,Alameda,Alameda,6001.0,Bay Area,1.0,,545138.0,0.455,0.449042553191489,0.460957446808511,0.0030395136778115,0.668024984134407,,0.972222222222222,66430.0,3.0,2014-03-26 09:50:34
5,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9.0,Total,CO,6003.0,Alpine,Alpine,6003.0,Central/Southeast Sierra,3.0,,497.0,,,,,,,,,,2014-03-26 09:50:34
6,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9.0,Total,CO,6005.0,Amador,Amador,6005.0,Central/Southeast Sierra,3.0,,14569.0,0.409,0.378021276595745,0.439978723404255,0.0158054711246201,3.86441836787777,,0.873931623931624,57522.0,4.0,2014-03-26 09:50:34
7,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9.0,Total,CO,6007.0,Butte,Butte,6007.0,Butte,2.0,,87618.0,0.45,0.440468085106383,0.459531914893617,0.0048632218844984,1.080715974333,,0.961538461538461,40011.0,9.0,2014-03-26 09:50:34
8,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9.0,Total,CO,6009.0,Calaveras,Calaveras,6009.0,Central/Southeast Sierra,3.0,,18886.0,0.396,0.367404255319149,0.424595744680851,0.0145896656534954,3.68425900340794,,0.846153846153846,54356.0,5.0,2014-03-26 09:50:34
9,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9.0,Total,CO,6011.0,Colusa,Colusa,6011.0,Northern Sacramento Valley,7.0,,7056.0,0.44,0.401872340425532,0.478127659574468,0.0194528875379939,4.42111080408953,,0.94017094017094,42398.0,8.0,2014-03-26 09:50:34
10,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9.0,Total,CO,6013.0,Contra Costa,Contra Costa,6013.0,Bay Area,1.0,,375364.0,0.449,0.443042553191489,0.454957446808511,0.0030395136778115,0.676951821338875,,0.959401709401709,75483.0,1.0,2014-03-26 09:50:34
11,556,Income inequality: Gini coefficient describing the amount of total annual community income generated by the number of households,2005-2007,9.0,Total,CO,6015.0,Del Norte,Del Norte,6015.0,North Coast,5.0,,9907.0,0.444,0.413021276595745,0.474978723404255,0.0158054711246201,3.55979079383335,,0.948717948717949,33173.0,10.0,2014-03-26 09:50:34
